# VIRUSFlow baseline_relative_response payload
# payload_version: remedy-effective-response-atmosphere-separated-1.0
# response_definition: throughput / normalization
# columns: wavelength_angstrom response uncertainty mask
# uncertainty: NaN because neither legacy input supplied response uncertainty
# mask bits: 1=response_invalid, 2=uncertainty_unavailable
# units: wavelength=Angstrom; response=1; uncertainty=1; mask=bit field
# provenance: legacy Remedy effective response with modeled atmosphere removed
# throughput_sha256: 6a6715e048dbc7d8ef709f371b2bdf2b0f7bf0fc2c063134b184d9494c9f141a
# normalization_sha256: c8c3eee4b89e1a688e9c438e451b5e63d8c961e860cb00c0e40ab4cdd0770c23
# method_identity: legacy-remedy-effective-response; exact curve-producing release unknown
# applicability: legacy Remedy reference epoch unspecified; five-pixel fractional aperture
# applicability: no fitted detector PSF; gap-sampled smooth scattered-light correction
# atmospheric_content: removed_with_model
# construction_extinction_model: mcdonald_extinction.dat
# construction_airmass: 1.22
# construction_airmass_basis: HET fixed altitude
# source_baseline: legacy Remedy throughput / normalization
# scientific_claim: atmosphere-separated empirical relative response, not absolute flux calibration
4452.0 0.19752921850747601 nan 2
4454.0 0.1975529286555073 nan 2
4456.0 0.19757225027433434 nan 2
4458.0 0.1975871769888429 nan 2
4460.0 0.19759770300412577 nan 2
4462.0 0.19760382310783509 nan 2
4464.0 0.19760553267234515 nan 2
4466.0 0.19760282765672235 nan 2
4468.0 0.1975957046085019 nan 2
4470.0 0.19758416066527026 nan 2
4472.0 0.1975681935560516 nan 2
4474.0 0.19754780160249683 nan 2
4476.0 0.19752368925865024 nan 2
4478.0 0.19750008940108763 nan 2
4480.0 0.19747770772988313 nan 2
4482.0 0.19745654447792055 nan 2
4484.0 0.19743659992335161 nan 2
4486.0 0.19741787438965372 nan 2
4488.0 0.19740036824569274 nan 2
4490.0 0.19738408190579007 nan 2
4492.0 0.19736901582979316 nan 2
4494.0 0.19735517052315171 nan 2
4496.0 0.1973425465369969 nan 2
4498.0 0.19733114446822533 nan 2
4500.0 0.19732096495958815 nan 2
4502.0 0.19732974641990106 nan 2
4504.0 0.19733975206807625 nan 2
4506.0 0.19735098301529447 nan 2
4508.0 0.197363440419345 nan 2
4510.0 0.19737712548475733 nan 2
4512.0 0.19739203946293693 nan 2
4514.0 0.197408183652306 nan 2
4516.0 0.19742555939844855 nan 2
4518.0 0.19744416809425999 nan 2
4520.0 0.19746401118010179 nan 2
4522.0 0.19748509014396051 nan 2
4524.0 0.19750740652161153 nan 2
4526.0 0.1975309618967877 nan 2
4528.0 0.19755575790135269 nan 2
4530.0 0.19758179621547908 nan 2
4532.0 0.19760907856783155 nan 2
4534.0 0.1976376067357544 nan 2
4536.0 0.19766738254546468 nan 2
4538.0 0.19769840787224977 nan 2
4540.0 0.19773068464067026 nan 2
4542.0 0.19773236188180132 nan 2
4544.0 0.19773529637482878 nan 2
4546.0 0.1977394895849118 nan 2
4548.0 0.19774494302647416 nan 2
4550.0 0.19775165826339253 nan 2
4552.0 0.19775963690919049 nan 2
4554.0 0.19776888062723699 nan 2
4556.0 0.19777939113095067 nan 2
4558.0 0.19779074581728526 nan 2
4560.0 0.19780039848156863 nan 2
4562.0 0.19780792201834083 nan 2
4564.0 0.19781331362001722 nan 2
4566.0 0.19781657061453742 nan 2
4568.0 0.19781769046592043 nan 2
4570.0 0.19781667077480011 nan 2
4572.0 0.19781350927893843 nan 2
4574.0 0.19780820385371808 nan 2
4576.0 0.19780075251261253 nan 2
4578.0 0.19779115340763551 nan 2
4580.0 0.19777940482976755 nan 2
4582.0 0.19776550520936109 nan 2
4584.0 0.1977494531165232 nan 2
4586.0 0.1977312472614762 nan 2
4588.0 0.19771088649489493 nan 2
4590.0 0.19768836980822285 nan 2
4592.0 0.19766369633396458 nan 2
4594.0 0.19763686534595545 nan 2
4596.0 0.19760787625960868 nan 2
4598.0 0.19757672863213957 nan 2
4600.0 0.19754342216276591 nan 2
4602.0 0.19751683419405719 nan 2
4604.0 0.19748808422526395 nan 2
4606.0 0.19745717209125183 nan 2
4608.0 0.19742409776948275 nan 2
4610.0 0.19738886138013101 nan 2
4612.0 0.19735146318617666 nan 2
4614.0 0.19731190359347481 nan 2
4616.0 0.19727018315080155 nan 2
4618.0 0.19722630254987644 nan 2
4620.0 0.19718026262536148 nan 2
4622.0 0.19713206435483616 nan 2
4624.0 0.1970817088587492 nan 2
4626.0 0.19702919740034647 nan 2
4628.0 0.19697453138557544 nan 2
4630.0 0.19691771236296599 nan 2
4632.0 0.19685874202348738 nan 2
